timestamp,run_id,client_id,client_round,train-loss,train-accuracy,val-loss,val-accuracy,local-test-loss,local-test-accuracy,ga_best_fitness,batch_size,optimizer,lr,weight_decay,momentum,num-examples,ga_ran,ga_time_s,local_train_time_s,total_visit_time_s
2026-05-27T18:56:24,20260527_185605,0,1,1.5580202796891098,0.5126154091053805,1.2899504141649825,0.5966921119592875,2.3865593795776365,0.328,0.0,64,sgd,0.01,0.0,0.9,3141,0,0.0,5.886,7.029
2026-05-27T18:56:27,20260527_185605,1,1,1.5164074601606579,0.46716912450998693,1.2664615467413147,0.5216417910447761,2.6563251934051513,0.304,0.0,64,sgd,0.01,0.0,0.9,5357,0,0.0,8.946,10.217
2026-05-27T18:56:34,20260527_185605,2,1,1.4830439290278226,0.5320894895903291,1.2676902870510631,0.5554063129617193,2.3608381023406984,0.289,0.0,64,sgd,0.01,0.0,0.9,5956,0,0.0,9.406,10.253
2026-05-27T18:56:36,20260527_185605,8,1,1.0164566127419268,0.7138847305389222,0.7753418838498529,0.7416595380667237,3.2500965099334715,0.228,0.0,64,sgd,0.01,0.0,0.9,4676,0,0.0,7.648,8.478
2026-05-27T18:56:39,20260527_185605,9,1,1.5793982610660675,0.48827920377160816,1.2415566234907844,0.606694560669456,2.494126937866211,0.258,0.0,64,sgd,0.01,0.0,0.9,1909,0,0.0,3.582,4.248
2026-05-27T18:56:48,20260527_185605,0,2,1.448491999328573,0.5297277936962751,1.4363791627131648,0.5292620865139949,2.2332341022491455,0.281,0.0,64,sgd,0.0005,0.0001,0.5,3141,0,0.0,5.358,6.084
2026-05-27T18:56:52,20260527_185605,2,1,1.3163702908110266,0.5442830758898589,1.3308475560354178,0.5204835460040296,2.26437393951416,0.243,0.0,64,sgd,0.0005,0.0001,0.5,5956,0,0.0,9.52,10.36
2026-05-27T18:56:58,20260527_185605,4,1,1.435530291632395,0.5280218794835008,1.3573940968445175,0.5544412607449857,2.1135486640930177,0.237,0.0,64,sgd,0.0005,0.0001,0.5,2788,0,0.0,4.955,5.78
2026-05-27T18:57:00,20260527_185605,3,1,1.3089450780472276,0.5749964013243126,1.2642426298621336,0.595279217040875,2.2796445140838624,0.233,0.0,64,sgd,0.0005,0.0001,0.5,6947,0,0.0,10.784,11.689
2026-05-27T18:57:07,20260527_185605,8,2,0.9643168482958149,0.7072551325919589,0.8716710318960218,0.7177074422583405,2.7032135581970214,0.213,0.0,64,sgd,0.0005,0.0001,0.5,4676,0,0.0,7.542,8.331
2026-05-27T18:57:16,20260527_185605,0,1,3.196129597944084,0.46804361668258515,1.2737547653625334,0.5699745547073791,2.223628910064697,0.315,0.0,128,lion,0.005,0.001,0.7,3141,0,0.0,5.311,6.045
2026-05-27T18:57:19,20260527_185605,1,1,2.4156988202240433,0.41415437745006534,1.2412642877493332,0.5201492537313432,2.486001672744751,0.331,0.0,128,lion,0.005,0.001,0.7,5357,0,0.0,8.202,9.055
2026-05-27T18:57:24,20260527_185605,4,1,4.132813383080867,0.48354555236728836,1.1847152856837713,0.5931232091690545,2.246907905578613,0.273,0.0,128,lion,0.005,0.001,0.7,2788,0,0.0,4.72,5.43
2026-05-27T18:57:26,20260527_185605,2,2,2.3622457703901985,0.4858336131631968,1.2269581281714506,0.5554063129617193,2.2846685314178465,0.299,0.0,128,lion,0.005,0.001,0.7,5956,0,0.0,9.248,10.115
2026-05-27T18:57:29,20260527_185605,7,1,2.8777389610866133,0.3801994906621392,1.372960572727656,0.5,2.118572214126587,0.299,0.0,128,lion,0.005,0.001,0.7,2356,0,0.0,4.028,4.686
