timestamp,run_id,client_id,client_round,train-loss,train-accuracy,val-loss,val-accuracy,local-test-loss,local-test-accuracy,ga_best_fitness,batch_size,optimizer,lr,weight_decay,momentum,num-examples,ga_ran,ga_time_s,local_train_time_s,total_visit_time_s
2026-05-19T01:09:13,20260519_010824,2,1,1.5446721228499398,0.5856681034482759,0.8660410427748223,0.7084639498432602,2.2181602420806885,0.42,0.0,64,sgd,0.01,0.0,0.9,2552,0,0.0,35.362,37.006
2026-05-19T01:09:19,20260519_010824,0,1,1.7662498763420749,0.5021760154738878,1.0634777447612016,0.634020618556701,1.5469913606643677,0.464,0.0,64,sgd,0.01,0.0,0.9,3102,0,0.0,41.33,43.198
2026-05-19T01:10:24,20260519_010824,4,1,1.557995259270964,0.580931448920543,0.9098360235156537,0.6832740213523132,2.0026849460601808,0.418,0.0,64,sgd,0.01,0.0,0.9,4493,0,0.0,62.567,64.376
2026-05-19T01:10:32,20260519_010824,3,1,1.4757614745232714,0.5980194191441829,0.7972962073444091,0.7189003436426117,2.3590803260803224,0.481,0.0,64,sgd,0.01,0.0,0.9,5819,0,0.0,76.783,78.583
2026-05-19T01:10:59,20260519_010824,7,1,1.487169418552705,0.5563018911439115,0.9074415911177885,0.6820276497695853,2.150221068382263,0.43,0.0,64,sgd,0.01,0.0,0.9,4336,0,0.0,32.793,33.978
2026-05-19T01:11:53,20260519_010824,0,1,1.252723769025984,0.619277885235332,0.946272309293452,0.6739690721649485,1.3913812408447266,0.529,0.0,64,radam,0.0005,0.001,0.95,3102,0,0.0,46.211,47.679
2026-05-19T01:12:30,20260519_010824,3,1,1.1011576651374506,0.689315174428596,0.7063628349107566,0.7573883161512027,2.056525794029236,0.504,0.0,64,radam,0.0005,0.001,0.95,5819,0,0.0,82.865,84.665
2026-05-19T01:12:59,20260519_010824,4,1,1.1784197123828615,0.6737981304251057,0.7935243422874777,0.7322064056939501,1.708118052482605,0.491,0.0,64,radam,0.0005,0.001,0.95,4493,0,0.0,64.525,66.18
2026-05-19T01:13:15,20260519_010824,6,1,1.0588251421457442,0.6959770114942528,0.8033885392617053,0.7244094488188977,1.8328418531417847,0.423,0.0,64,radam,0.0005,0.001,0.95,3045,0,0.0,43.252,44.888
2026-05-19T01:13:20,20260519_010824,9,1,1.168043537650397,0.637138905961893,1.0254817035332944,0.6388206388206388,2.1347459888458253,0.365,0.0,64,radam,0.0005,0.001,0.95,1627,0,0.0,19.601,20.646
2026-05-19T01:14:06,20260519_010824,2,1,1.4030486438248224,0.7044474921630094,0.621318699611018,0.7884012539184952,1.7260813388824463,0.544,0.0,64,adam,0.0005,0.0,0.95,2552,0,0.0,37.355,38.748
