timestamp,run_id,client_id,client_round,candidate_index,rung,fitness,batch_size,optimizer,lr,weight_decay,momentum
2026-05-27T18:30:40,20260527_182957,6,1,0,full,0.35528614061364294,128,sgd,0.0005,0.001,0.5
2026-05-27T18:30:40,20260527_182957,6,1,1,full,0.6577761442176702,64,adam,0.003,0.0,0.0
2026-05-27T18:30:40,20260527_182957,6,1,2,full,0.6516014651155129,64,lion,0.005,0.0001,0.0
2026-05-27T18:30:40,20260527_182957,6,1,3,full,0.6614425907844392,64,adam,0.003,0.001,0.0
2026-05-27T18:30:43,20260527_182957,3,1,0,full,0.5564647741396775,128,adamw,0.005,0.0,0.0
2026-05-27T18:30:43,20260527_182957,3,1,1,full,0.5771164502415013,128,adam,0.005,0.0,0.0
2026-05-27T18:30:43,20260527_182957,3,1,2,full,0.5864946537447194,64,sgd,0.003,0.001,0.95
2026-05-27T18:30:43,20260527_182957,3,1,3,full,0.5544289157789858,128,radam,0.005,0.0,0.0
2026-05-27T18:31:13,20260527_182957,7,1,0,full,0.4785765913111054,64,adam,0.003,1e-05,0.0
2026-05-27T18:31:13,20260527_182957,7,1,1,full,0.4827555116700215,128,radam,0.001,0.001,0.0
2026-05-27T18:31:13,20260527_182957,7,1,2,full,0.47444546928260234,64,lion,0.001,0.0001,0.0
2026-05-27T18:31:13,20260527_182957,7,1,3,full,0.4857932006688102,128,lion,0.01,1e-05,0.0
2026-05-27T18:31:25,20260527_182957,8,1,0,full,0.5893513591382527,128,adamw,0.001,0.001,0.0
2026-05-27T18:31:25,20260527_182957,8,1,1,full,0.6228335763011454,64,adamw,0.005,0.001,0.0
2026-05-27T18:31:25,20260527_182957,8,1,2,full,0.6315139301662138,128,radam,0.01,0.0001,0.0
2026-05-27T18:31:25,20260527_182957,8,1,3,full,0.5501152286383014,128,radam,0.0005,0.0001,0.0
2026-05-27T18:31:45,20260527_182957,9,1,0,full,0.6005904294346109,128,adamw,0.003,0.001,0.0
2026-05-27T18:31:45,20260527_182957,9,1,1,full,0.6006215714547668,64,sgd,0.005,0.0001,0.95
2026-05-27T18:31:45,20260527_182957,9,1,2,full,0.5949743956459842,128,adamw,0.005,0.0,0.0
2026-05-27T18:31:45,20260527_182957,9,1,3,full,0.6061997797203104,128,radam,0.01,0.001,0.0
2026-05-27T18:32:20,20260527_182957,1,1,0,full,0.5622480070821401,128,radam,0.0005,0.0001,0.0
2026-05-27T18:32:20,20260527_182957,1,1,1,full,0.6046520330712607,128,lion,0.0005,0.001,0.0
2026-05-27T18:32:20,20260527_182957,1,1,2,full,0.6101772366380346,64,adamw,0.001,0.0001,0.0
