timestamp,run_id,client_id,client_round,candidate_index,rung,fitness,batch_size,optimizer,lr,weight_decay,momentum
2026-05-19T10:31:20,20260519_102736,3,1,0,full,0.752645134567693,128,radam,0.005,0.0,0.0
2026-05-19T10:31:20,20260519_102736,3,1,1,full,0.643360597159264,64,adamw,0.003,0.0,0.0
2026-05-19T10:31:20,20260519_102736,3,1,2,full,0.6597482165475079,64,adamw,0.01,0.0001,0.0
2026-05-19T10:31:20,20260519_102736,3,1,3,full,0.6255058090191924,128,lion,0.005,0.0,0.0
2026-05-19T10:31:50,20260519_102736,1,1,0,full,0.8084821191730591,128,radam,0.005,0.0001,0.0
2026-05-19T10:31:50,20260519_102736,1,1,1,full,0.8358318033450896,128,adam,0.003,0.0001,0.0
2026-05-19T10:31:50,20260519_102736,1,1,2,full,0.8143983415998068,64,lion,0.003,0.001,0.0
2026-05-19T10:31:50,20260519_102736,1,1,3,full,0.8762680618546322,64,radam,0.0005,0.0,0.0
2026-05-19T10:35:23,20260519_102736,6,1,0,full,0.5416864231170474,64,lion,0.005,0.001,0.0
2026-05-19T10:35:23,20260519_102736,6,1,1,full,0.7635153338271066,64,lion,0.0005,1e-05,0.0
2026-05-19T10:35:23,20260519_102736,6,1,2,full,0.4526157648234077,128,adamw,0.01,1e-05,0.0
2026-05-19T10:35:23,20260519_102736,6,1,3,full,0.7508172791973774,128,adam,0.0005,0.0,0.0
2026-05-19T10:35:46,20260519_102736,5,1,0,full,0.6732874841820352,64,radam,0.01,0.001,0.0
2026-05-19T10:35:46,20260519_102736,5,1,1,full,0.7098723017474242,128,adamw,0.001,0.0,0.0
2026-05-19T10:35:46,20260519_102736,5,1,2,full,0.5824362430832849,64,lion,0.01,0.001,0.0
2026-05-19T10:35:46,20260519_102736,5,1,3,full,0.6985465560140759,128,radam,0.0005,0.001,0.0
2026-05-19T10:38:10,20260519_102736,7,1,0,full,0.6546091547376195,64,radam,0.003,1e-05,0.0
2026-05-19T10:38:10,20260519_102736,7,1,1,full,0.5309003646604131,128,sgd,0.001,1e-05,0.95
2026-05-19T10:38:10,20260519_102736,7,1,2,full,0.49245469626177457,128,lion,0.003,0.0,0.0
2026-05-19T10:38:10,20260519_102736,7,1,3,full,0.574163830438759,128,adamw,0.003,0.0001,0.0
2026-05-19T10:38:41,20260519_102736,5,2,0,full,0.6732874841820352,64,radam,0.01,0.001,0.0
2026-05-19T10:38:41,20260519_102736,5,2,1,full,0.7098723017474242,128,adamw,0.001,0.0,0.0
2026-05-19T10:38:41,20260519_102736,5,2,2,full,0.5824362430832849,64,lion,0.01,0.001,0.0
2026-05-19T10:38:41,20260519_102736,5,2,3,full,0.6985465560140759,128,radam,0.0005,0.001,0.0
2026-05-19T10:39:27,20260519_102736,7,2,0,full,0.6546091547376195,64,radam,0.003,1e-05,0.0
2026-05-19T10:39:27,20260519_102736,7,2,1,full,0.5309003646604131,128,sgd,0.001,1e-05,0.95
2026-05-19T10:39:27,20260519_102736,7,2,2,full,0.49245469626177457,128,lion,0.003,0.0,0.0
2026-05-19T10:39:27,20260519_102736,7,2,3,full,0.574163830438759,128,adamw,0.003,0.0001,0.0
2026-05-19T10:41:26,20260519_102736,4,1,0,full,0.7058932406016496,128,adamw,0.001,0.0001,0.0
