timestamp,run_id,server_round,phase,num_replies,train-loss,train-accuracy,val-loss,val-accuracy,hp_lr,hp_batch_size,hp_weight_decays,hp_momentum,eval-loss,eval-acc
2026-08-11T16:43:18,20260811_162956,1,train,5,1.2620546315914472,0.7130065911319315,0.6091995863149022,0.7929063803352334,,,,,,
2026-08-11T16:43:24,20260811_162956,1,evaluate,10,,,,,,,,,2.6460850723266605,0.21150000000000002
2026-08-11T16:51:32,20260811_162956,2,train,5,0.9858481114448474,0.7637911823822425,0.5432366941744186,0.813275204026773,,,,,,
2026-08-11T16:51:37,20260811_162956,2,evaluate,10,,,,,,,,,2.168341038322449,0.31699999999999995
2026-08-11T16:54:19,20260811_162956,3,train,5,0.8953137108729231,0.815551212507977,0.4046744927671289,0.8689367651124706,,,,,,
2026-08-11T16:54:25,20260811_162956,3,evaluate,10,,,,,,,,,2.002477813625336,0.30010000000000003
2026-08-11T17:03:08,20260811_162956,4,train,5,1.0112819198278415,0.7981738705011486,0.4498643612672901,0.8424849335067318,,,,,,
2026-08-11T17:03:13,20260811_162956,4,evaluate,10,,,,,,,,,1.8278067473411563,0.4226
2026-08-11T17:10:28,20260811_162956,5,train,5,1.0481457637446423,0.800647721106891,0.4416482365288632,0.8463184341385784,,,,,,
2026-08-11T17:10:34,20260811_162956,5,evaluate,10,,,,,,,,,1.8337009210586548,0.44620000000000004
2026-08-11T17:19:11,20260811_162956,6,train,5,0.7091364223024885,0.876426844354476,0.3624900105200275,0.8833417836925475,,,,,,
2026-08-11T17:19:16,20260811_162956,6,evaluate,10,,,,,,,,,1.8637729739189148,0.3503
2026-08-11T17:22:39,20260811_162956,7,train,5,0.9178647774661552,0.8298094889917946,0.42734018550330455,0.8585376218499132,,,,,,
2026-08-11T17:22:44,20260811_162956,7,evaluate,10,,,,,,,,,1.5492498482704165,0.4629
2026-08-11T17:25:16,20260811_162956,8,train,5,0.9921359924677362,0.8541425958020412,0.3786885254170652,0.8756399570660038,,,,,,
2026-08-11T17:25:21,20260811_162956,8,evaluate,10,,,,,,,,,1.582261365604401,0.41240000000000004
2026-08-11T17:28:22,20260811_162956,9,train,5,0.749957101127502,0.8490179220950995,0.3277517334655096,0.8860662828857958,,,,,,
2026-08-11T17:28:28,20260811_162956,9,evaluate,10,,,,,,,,,1.2647366147994994,0.5669
2026-08-11T17:32:17,20260811_162956,10,train,5,0.4573597633121904,0.9286046408644053,0.17883317084594905,0.9433659664655029,,,,,,
2026-08-11T17:32:22,20260811_162956,10,evaluate,10,,,,,,,,,2.2641796403884893,0.33849999999999997
2026-08-11T17:43:44,20260811_162956,11,train,5,0.6318267354975468,0.887409574780921,0.25835085044178563,0.908782012400942,,,,,,
2026-08-11T17:43:50,20260811_162956,11,evaluate,10,,,,,,,,,1.5491887945175173,0.4477
2026-08-11T17:46:45,20260811_162956,12,train,5,0.46652588118348626,0.9139489779164274,0.2677505368390359,0.9125227593104243,,,,,,
2026-08-11T17:46:50,20260811_162956,12,evaluate,10,,,,,,,,,1.2716815890312196,0.5547000000000001
2026-08-11T17:49:44,20260811_162956,13,train,5,0.6722283839646288,0.8758600200150113,0.2961978853543731,0.8999735788908546,,,,,,
2026-08-11T17:49:50,20260811_162956,13,evaluate,10,,,,,,,,,1.102209901857376,0.5982
2026-08-11T17:52:25,20260811_162956,14,train,5,0.481306441787815,0.9010864458538878,0.3056297830622423,0.9000812487264915,,,,,,
2026-08-11T17:52:31,20260811_162956,14,evaluate,10,,,,,,,,,1.1969548399925232,0.5952
2026-08-11T17:54:56,20260811_162956,15,train,5,0.5199071818084559,0.9240831235500271,0.2284521822458188,0.9257894291745669,,,,,,
2026-08-11T17:55:02,20260811_162956,15,evaluate,10,,,,,,,,,1.0772840161800386,0.6178000000000001
2026-08-11T18:01:28,20260811_162956,16,train,5,0.8850515203994168,0.853684986537886,0.3805224824890843,0.8739026233313267,,,,,,
2026-08-11T18:01:34,20260811_162956,16,evaluate,10,,,,,,,,,1.1490007716178896,0.6073
2026-08-11T18:09:01,20260811_162956,17,train,5,0.6634472747250292,0.8964817827631972,0.25187198738291716,0.915954623544557,,,,,,
2026-08-11T18:09:07,20260811_162956,17,evaluate,10,,,,,,,,,0.9884355663776399,0.6583
2026-08-11T18:13:46,20260811_162956,18,train,5,0.6302906057963487,0.9064310251919709,0.24131562357900677,0.9229937505626322,,,,,,
2026-08-11T18:13:51,20260811_162956,18,evaluate,10,,,,,,,,,1.2723523535728456,0.5465000000000001
2026-08-11T18:20:39,20260811_162956,19,train,5,0.8045938787074092,0.8782974961385254,0.31764822142565,0.8966349286145755,,,,,,
2026-08-11T18:20:47,20260811_162956,19,evaluate,10,,,,,,,,,1.0264308204174042,0.6305000000000001
2026-08-11T18:30:46,20260811_162956,20,train,5,0.5019442946478132,0.9109736979620277,0.32848498169483153,0.8980395988189462,,,,,,
2026-08-11T18:33:53,20260811_162956,20,evaluate,10,,,,,,,,,1.0934861745834352,0.6356999999999999
